,Unnamed: 0,LPloc,LPlocerr,LPscale,LPscaleerr,RPloc,RPlocerr,RPscale,RPscaleerr,RSPloc,RSPlocerr,RSPscale,RSPscaleerr,SampleA,SampleB,amplitude,amplitudeerr,chisquared,ctime,length,location,locationerr,mtime,numofsamples,scale,scaleerr,uniquename,DOI,TimeResolution,TimeResolutionerr,CTR,CTRerr,ERright,ERrighterr,ERleft,ERlefterr
0,0,0.6084517867465173,0.00017917886885632909,0.025147537045081585,0.00010701611435644258,0.5160008660698594,0.00016786077185454098,0.0236372731812613,0.00010348038060602344,0.0,0.0,0.0,0.0,30A,30B,82510.95093999317,0.0,1.4422766693582312,1376465069.0,30,-70.61431376065718,1.6065081671093235,1376465069.0,3502,90.19153180279169,1.2677499940229744,Run_30Avs30B_SW_00001,,63.77504374335616,0.8964346176228503,212.370895665376,2.9851272766840915,10.787923432348268,0.0473580957864296,9.733301969222316,0.041519420266064914
1,1,0.4874626631877131,0.0001114297643952191,0.017565287738978527,7.672599988006012e-05,0.3834976569776842,0.00010263566942198556,0.01563100754498545,7.418276607213856e-05,0.0,0.0,0.0,0.0,20A,20B,48941.322426785555,0.0,1.237187330833201,1376464807.0,20,-70.19186655985877,2.216316275995081,1376464807.0,2249,90.50719137854428,2.292927220791695,Run_20Avs20B_SW_00005,,63.99824876991728,1.6213443865890313,213.11416840382455,5.3990768073414745,9.598760800403737,0.04562686935645229,8.486035085186623,0.03711812248805615
2,2,0.7105377316532293,0.00039777760062357066,0.018453496271959045,0.00025430914247037033,0.5330948007407261,0.00036932952767720456,0.017817058988834494,0.00023531702322678258,0.0,0.0,0.0,0.0,5A,5B,8080.053651622213,0.0,0.8388968919942665,1380124184.0,5,-29.801539268529663,3.5147174543472888,1375460764.0,370,63.36626278258666,2.6068716784263097,Run_5Avs5B_SW_00000,,44.80671411201577,1.8433366414984003,149.20635799301252,6.138311016189673,7.870865343350502,0.10409658714781547,6.116210552161469,0.08435751607108294
3,3,0.759680968429677,0.000417755537182256,0.02134803160436553,0.0002581613703630815,0.6704174681077995,0.00040945395760973597,0.020433181291429788,0.0002566589259057413,0.0,0.0,0.0,0.0,5A,5B,8030.016714037903,0.0,1.1498792660942472,1380124184.0,5,-82.8624925325757,3.3009457309573853,1375465004.0,361,58.48294228331011,2.244196297929672,Run_5Avs5B_SW_00007,,41.353685072270046,1.5868864205798165,137.70777129065925,5.284331780530789,7.177638446255355,0.09026403208197123,6.617858879919367,0.0801123521044376
4,4,0.7068704100252543,0.0004066856667856682,0.020236369524386514,0.0002578457670072526,0.6272701587028214,0.00035910338238870696,0.01906086599935413,0.000228248594544652,0.0,0.0,0.0,0.0,5A,5B,10094.033063489922,0.0,0.8289281621873215,1380124184.0,5,-68.06467033123414,3.0294894071914404,1375464398.0,446,60.39911234274048,2.4120387172746143,Run_5Avs5B_SW_00006,,42.70862191519989,1.7055689334693813,142.21971097761565,5.67954454845304,7.156141385923237,0.08579068589479644,6.74192179415568,0.08599107797613206
5,5,0.4134930841707972,0.0003497452102018785,0.016816777645417426,0.00023921319670194174,0.3288402130097492,0.0002971390315879529,0.014417515420131238,0.00021116637442692508,0.0,0.0,0.0,0.0,5A,5B,17947.30789113262,0.0,1.131414286626503,1380124184.0,5,15.245517927510429,2.9504754057197684,1375680640.0,773,72.84008695832007,2.705775174596382,Run_5Avs5B_SW_00244,,51.50571943044592,1.913271974323316,171.5140457033849,6.371195674496643,10.325151082845956,0.15151501412347368,9.577792923520684,0.13648163659512402
6,6,0.6635388162760045,0.00012007760994765889,0.019702401609390158,7.886220700547368e-05,0.5452013537610778,0.00012345124690820935,0.021467902536398204,8.151798160645073e-05,0.0,0.0,0.0,0.0,20A,20B,42550.023008159216,0.0,1.1387367013647156,1376464820.0,20,-131.08392079962357,2.1399605261859747,1376464819.0,2003,87.29311892610453,1.9143223404515253,Run_20Avs20B_SW_00009,,61.72555634357226,1.3536303083101762,205.54610262409562,4.507588926672887,9.273071338589007,0.035274282449941505,6.992681460674895,0.0280179858650809
7,7,0.5540557602004309,0.00019370106905216384,0.02731885050910561,0.00010808647206057183,0.4652984681891211,0.0001599349730308859,0.021876046968104263,0.00010138923227311696,0.0,0.0,0.0,0.0,30A,30B,94923.14651852859,0.0,1.436604575538034,1376465067.0,30,-49.8045451244579,1.5753106344839243,1376465066.0,3978,94.73857851265585,1.1992771828241795,Run_30Avs30B_SW_00000,,66.9902913062731,0.8480170284972761,223.0776700498894,2.8238967048959296,11.072052485018274,0.05145673209414063,11.611808335982294,0.04612088979526663
8,8,0.450176688427964,0.00010942527122447913,0.016954250198532018,7.486583692250467e-05,0.3498458868593446,9.82626421944357e-05,0.01508831571175631,7.113755651502492e-05,0.0,0.0,0.0,0.0,20A,20B,44946.80843817478,0.0,1.339135022401235,1376464804.0,20,-64.2780280576733,2.0767850553301046,1376464804.0,2086,86.80353647848189,1.9275200915115775,Run_20Avs20B_SW_00004,,61.379369274908385,1.362962527581151,204.39329968544493,4.538665216845233,10.15675325503316,0.047971398086567335,8.869241843012924,0.03922370188482405
9,9,0.8185564902453492,0.0002736489608226759,0.023761026934381,0.00016333743651791968,0.7116656870275896,0.00021947589254628702,0.020485633932998373,0.00014124713519412418,0.5254257128260966,0.5254257128260966,0.12025324578559055,0.12025324578559055,5A,5B,24840.30756288104,0.0,0.7572071849811917,1380124184.0,5,-131.1446627830666,2.527539855674246,1375536068.0,1048,77.61053713824748,2.220753056287089,Run_5Avs5B_SW_00047,,54.87893710198518,1.5703095454413512,182.74686054961066,5.2291307863197,6.778979061602681,0.046787358255976456,6.836085120245638,0.04704797750041662
