,Unnamed: 0,LPloc,LPlocerr,LPscale,LPscaleerr,RPloc,RPlocerr,RPscale,RPscaleerr,RSPloc,RSPlocerr,RSPscale,RSPscaleerr,SampleA,SampleB,amplitude,amplitudeerr,chisquared,ctime,length,location,locationerr,mtime,numofsamples,scale,scaleerr,uniquename,configuration,specialkey,DOI,TimeResolution,TimeResolutionerr,CTR,CTRerr,ERright,ERrighterr,ERleft,ERlefterr
24,24,0.6055557718731799,0.0002465010539887804,0.02877658320482393,0.00013811802603461954,0.4569514770251213,0.00018876401298578704,0.025537916616671527,0.00011670283486303745,0.721284783998009,0.721284783998009,0.14078312933981812,0.14078312933981812,23972,20B,38053.12283416228,0.0,1.1923021489665044,1379439412.0,20,246.403095689626,2.1256886673045625,1379439412.0,1736,80.02819110938714,1.8926998873988956,Run_23972vs20B_24mm,wrapped,normal,10.0,69.08220734921974,2.2692463646483163,230.04375047290176,7.556590394278894,13.161527351613111,0.060390615835083074,11.191182810086902,0.05390678915456824
25,25,0.6069492372421667,0.0003433660271605496,0.02858752015637047,0.00019798839093809468,0.4550887118068944,0.00027538727075872147,0.031205585296972337,0.00015699730950067308,0.6753318817919256,0.6753318817919256,0.07067242133889508,0.07067242133889508,23972,20B,13376.994747515351,0.0,1.0064063146250348,1379439415.0,20,264.2492523634391,3.9621536432755287,1379439415.0,702,80.81773330673312,4.736298335952073,Run_23972vs20B_18mm,wrapped,normal,16.0,69.99532853582616,5.498981122726354,233.08444402430112,18.31160713867876,16.148313827118866,0.08182876590000981,11.092131901203958,0.07707656523375794
26,26,0.6199935021262509,0.0001886125679318689,0.026448288308275083,0.00010998469118008701,0.43529386822459465,0.00015501080151465358,0.024269147465279788,9.272117971163068e-05,0.6578597526124264,0.6578597526124264,0.04517917473955841,0.04517917473955841,23972,30A,69550.12409652902,0.0,1.8016782971388212,1379439417.0,30,372.54413786065453,1.6728887977229032,1379439417.0,3071,84.3813130186765,1.3626380771391449,Run_23972vs30A_11.5mm,wrapped,normal,22.5,74.08134709058592,1.6451132258837817,246.69088581165113,5.4782270421929935,13.129944263594531,0.05038087376632543,10.046188992687929,0.04188852203324161
27,27,0.6040045728911709,0.00027706486707231563,0.029118848742003024,0.0001535164570543081,0.4643616397114525,0.0002480639369945026,0.03295756194871948,0.00013817571548484076,0.6894070931748971,0.6894070931748971,0.06482936008835304,0.06482936008835304,23972,20A,27104.505917988838,0.0,1.1624360659601836,1379439420.0,20,249.70649322823456,2.644217314198292,1379439420.0,1255,80.88212567054853,2.9920260457510066,Run_23972vs20A_20mm,wrapped,normal,14.0,70.06966713911524,3.5015217661614417,233.33199157325376,11.6600674813176,16.71435617237101,0.07064207436707316,11.353372451995144,0.0600818548963804
28,28,0.6071457860197267,0.00022079764401210372,0.026893481954626958,0.00012499152778794114,0.4695804134262283,0.00016768085771936376,0.024577064364646,0.00010237041900371983,0.688130826533089,0.688130826533089,0.06425345451906106,0.06425345451906106,23972,20B,50932.80582200215,0.0,1.6131034616334587,1379439423.0,20,214.55500337829625,1.7840651853671337,1379439423.0,2267,77.38623838159596,1.5216330013814534,Run_23972vs20B_28mm,wrapped,normal,6.0,66.00355968319585,1.8861271815198117,219.79185374504218,6.280803514460973,12.325681592303933,0.051528263513748104,10.431456737655543,0.04862996476711387
29,29,0.623743081271042,0.0001803742081191049,0.025154682901567086,0.00010388819147040087,0.5103631553720158,0.00016194109799051924,0.02730833378345262,9.19326770690192e-05,0.731583329635391,0.731583329635391,0.05311404175120448,0.05311404175120448,23972,30B,75361.15309062086,0.0,1.3458617565377118,1379439426.0,30,289.5408476930272,1.5513837388523626,1379439426.0,3281,81.72412438045116,1.5170271156574568,Run_23972vs30B_24mm,wrapped,normal,10.0,71.03993599202812,1.8355048314716431,236.56298685345365,6.112231088800572,12.601051894734253,0.042609075482658236,9.497384421880037,0.03931998836617527
30,30,0.6067721220488018,0.00038664148869658137,0.029646025241422437,0.0002269697674757432,0.4549395890792449,0.0003145967052848264,0.028937117919975424,0.00016956173357320366,0.7596662715924017,0.7596662715924017,0.16733482139067188,0.16733482139067188,23972,20B,8238.982872771541,0.0,1.070395449044839,1379439396.0,20,258.35927808231554,5.516421384302381,1379439396.0,462,82.29939019806764,5.829905403095664,Run_23972vs20B_16mm,wrapped,normal,18.0,71.70097368218784,6.715327761172263,238.7642423616855,22.36204144470364,14.97933227562479,0.08838292289012958,11.506195968234447,0.08839594808297348
32,0,0.6067818491397255,0.0001934988163408164,0.027040602535517783,0.00011013243848312696,0.3665533398943009,0.00014061963035085938,0.02132486241394131,8.771007625221916e-05,0.5782726352754922,0.5782726352754922,0.05470287425941349,0.05470287425941349,23972,30A,79533.98850059205,0.0,2.08039737765324,1379439513.0,30,272.80708780132426,1.7119472628047154,1379439513.0,3491,89.75050423684894,1.3652702804022259,"Run_23972vs30A_26,5mm_unwrapped",unwrapped,normal,7.5,80.1435774767301,1.6098852341606202,266.87811299751127,5.360917829754865,13.7006120307929,0.0565957875689478,10.494812766965355,0.042874664637039525
33,1,0.6107026694724406,0.00019031076759745238,0.02817498838354275,0.00011215883836017348,0.3645289903283864,0.00015390713821957373,0.02639844197643961,9.118971439128716e-05,0.5710677472070875,0.5710677472070875,0.0576111987051302,0.0576111987051302,23972,30A,80237.3237895792,0.0,2.403399557431303,1379439481.0,30,376.0058312013745,1.5621824967874605,1379439481.0,3533,84.83342041018251,1.3709265614998565,Run_23972vs30A_6.5mm_unwrapped,unwrapped,normal,27.5,74.59590617782433,1.6504603893083134,248.40436757215502,5.496033096396684,17.05442708370351,0.05935053535495253,10.864877617214589,0.04338316576260375
34,2,0.6080906926103918,0.00043901800764546895,0.028308601744181688,0.00025211501764898624,0.3694155046274228,0.00034362012839824814,0.02763851804158654,0.00019671969863776115,0.5827168071437249,0.5827168071437249,0.05591430469381056,0.05591430469381056,23972,30B,3898.4954042959466,0.0,0.8186591563630876,1379439489.0,30,374.10510640755274,8.204131768314152,1379439489.0,276,87.28888438842527,9.037262859792467,Run_23972vs30B_04mm_unwrapped,unwrapped,normal,30.0,77.37693026849716,10.208293711902218,257.66517779409554,33.99361806063439,17.619376873090935,0.12647391790522008,10.963291811187407,0.097958831345366
35,3,0.609984072945925,0.00020108993939273832,0.02797920772538861,0.00010862191234764367,0.35814891709997937,0.0001437933955930275,0.023731583819065316,8.872651607819478e-05,0.5669416678808906,0.5669416678808906,0.060989496277999475,0.060989496277999475,23972,30A,80307.70611590105,0.0,1.8873802538376927,1379439491.0,30,342.76373282303393,1.6059644628252467,1379439491.0,3509,87.54145960663648,1.4346251113589317,Run_23972vs30A_16.5mm_unwrapped,unwrapped,normal,17.5,77.661748306746,1.698741788065981,258.6136218614642,5.656810154259717,15.604648576473958,0.058677346864723576,10.80209092592675,0.04208720000736323
36,4,0.6060185730839016,0.00020890014763835449,0.02874223328409322,0.00011895357326981854,0.36122778054970667,0.00014841467178592429,0.02181105819154273,9.39177259232667e-05,0.5686599861669763,0.5686599861669763,0.0465997664820637,0.0465997664820637,23972,30B,68276.46751519301,0.0,1.7524884901949251,1379439494.0,30,362.18052800867986,1.7307009278416197,1379439494.0,3020,87.88203084208986,1.364151701245633,Run_23972vs30B_14mm_unwrapped,unwrapped,normal,20.0,78.04544410104944,1.6209611718491759,259.8913288564946,5.397800702257756,14.219571363785255,0.061507118226198094,11.169287937759016,0.04638565439082042
37,5,0.6041176202756401,0.0002150985543901673,0.02656600127573409,0.0001239564811849585,0.36457438486026056,0.00016959279826456292,0.025451778329122456,0.00010430838796407416,0.6333770165130647,0.6333770165130647,0.039636591518912884,0.039636591518912884,23972,30B,53697.313615110565,0.0,1.4735022891449383,1379439496.0,30,376.6075307519345,1.8532828285884184,1379439496.0,2401,84.05008529154091,1.6734323511995983,Run_23972vs30B_09mm_unwrapped,unwrapped,normal,25.0,73.70384547305046,1.985503875847183,245.43380542525804,6.61172790657112,16.44079794252623,0.06781156737531557,10.356084792860083,0.04846178719911377
38,6,0.6065380821247349,0.0001902310302084252,0.027107623675136076,0.00011084101759255391,0.3612973998582816,0.0001519131407698211,0.024618785187003053,9.029184289534176e-05,0.5750616165354799,0.5750616165354799,0.054956402926034535,0.054956402926034535,23972,30B,71037.7368518702,0.0,2.101892585896437,1379439499.0,30,333.3475162103339,1.7030800836632158,1379439499.0,3140,86.8967087491952,1.4376360910957238,Run_23972vs30B_19mm_unwrapped,unwrapped,normal,15.0,76.93424459525457,1.7065995955466071,256.19103450219774,5.6829766531702015,16.046957198732592,0.05923930903164137,10.52505285922295,0.04316255679268016
40,8,0.6069873907114979,0.00019376895563327098,0.027880242571682225,0.00011204663860219443,0.3624870823204964,0.00013859616688488677,0.02209210374188489,8.834170356531683e-05,0.5763862787956889,0.5763862787956889,0.04459798935549671,0.04459798935549671,23972,30A,79987.74397777692,0.0,1.8002425586257282,1379439503.0,30,315.3439345490849,1.6196384334996738,1379439503.0,3473,88.91428567562029,1.336658659241406,Run_23972vs30A_21.5mm_unwrapped,unwrapped,normal,12.5,79.20599849257515,1.584816395980291,263.75597498027525,5.277438598614369,14.35276092573661,0.057655450854167706,10.817023921921795,0.0436089761677079
41,9,0.6105967020521726,0.0001978363732371872,0.028434346146634863,0.00011660150001223426,0.35640451883948804,0.0001487937904709242,0.02387031316637825,9.052749637807048e-05,0.5616643800168307,0.5616643800168307,0.05699809690331197,0.05699809690331197,23972,30A,78737.93025082521,0.0,2.359404984650868,1379439507.0,30,372.9054867632376,1.589098916797388,1379439507.0,3474,85.1681794160637,1.316981354220211,Run_23972vs30A_11.5mm_unwrapped,unwrapped,normal,22.5,74.97638818352625,1.5900847915284806,249.67137265114243,5.29498235578984,15.772692133608393,0.06017884365569214,10.96679444062956,0.045111990931811535
42,10,0.6046553662907909,0.00019449766051445814,0.02762022891691637,0.00011157569795761721,0.3667942104680524,0.0001458206770138526,0.02376342281179566,9.295706396290463e-05,0.5953335968132459,0.5953335968132459,0.09579820873527048,0.09579820873527048,23972,30B,78922.7718158809,0.0,1.5555632859328241,1379439510.0,30,296.17051218152386,1.6286817396317241,1379439510.0,3445,87.21129152178953,1.550167544940126,Run_23972vs30B_24mm_unwrapped,unwrapped,normal,10.0,77.28938716860523,1.8255998728383074,257.37365927145544,6.0792475765515634,15.257291179805335,0.059990459248148276,10.757473219555667,0.04359383767020558
43,11,0.6042129166918407,0.0001992180552474879,0.027659589803181457,0.00011130000585537925,0.3720832437908919,0.00015636418237503864,0.025231122827785717,9.026929745929504e-05,0.578013914766896,0.578013914766896,0.0591086048021787,0.0591086048021787,23972,30B,82013.85083190855,0.0,1.784777596622347,1379439515.0,30,250.64876145976226,1.5860039709617455,1379439515.0,3575,88.46327857139495,1.4056432312307745,Run_23972vs30B_29mm_unwrapped,unwrapped,normal,5.0,78.69937519193037,1.6613356849638792,262.06891938912815,5.532247830929718,15.969355043794602,0.057526291881843106,10.780692068473941,0.043526038109062526
44,12,0.6088450800798667,0.0001878706539804496,0.027284361577157717,0.00011189916198965572,0.373950533789314,0.00016801094508046477,0.028747278848521424,9.597573216077008e-05,0.5660531919472572,0.5660531919472572,0.07679534785577535,0.07679534785577535,23972,30A,86623.0683949447,0.0,1.3917581643039607,1379439484.0,30,221.5488411430328,1.6435162906231642,1379439484.0,3715,92.43633490001318,1.3898291390389574,"Run_23972vs30A_31,5mm_unwrapped",unwrapped,normal,2.5,83.14033924484187,1.6198303905348104,276.8573296853234,5.394035200480919,18.103956424998838,0.06098675564785195,10.553533832576534,0.0434046947903828
45,13,0.6030253149922323,0.00019440323765592391,0.025430690034468455,0.00011546873171342805,0.3888234549682625,0.0002123139560294293,0.04069922440169322,0.00011032623555773802,0.5820743397832929,0.5820743397832929,0.060057502142714575,0.060057502142714575,23972,30B,75089.75100696519,0.0,1.8842612142768336,1379439487.0,30,148.72219561118334,1.7249689563277832,1379439487.0,3290,87.83062430819261,1.5229717800042684,Run_23972vs30B_34mm_unwrapped,unwrapped,normal,0.0,77.98755391962794,1.791713477944049,259.69855455236103,5.966405881553683,24.650435111691237,0.06816385003352998,9.93146946607783,0.04520762264068286
46,0,0.6389789359010649,0.0002052830823075423,0.02704689339304049,0.00011669656563820858,0.4765471996532464,0.00016598097416608548,0.027035602292329302,9.169216784781226e-05,0.7016780268980772,0.7016780268980772,0.05261348932082559,0.05261348932082559,23972,30B,53048.410549616034,0.0,1.2914397043479406,1379439416.0,30,-44.32362393939979,1.8412717268355452,1379439416.0,2360,83.75726916041985,1.5602567757448267,Run_23972vs30B_28mm,wrapped,extended,6.0,73.36974946945791,1.8643257117981606,244.32126573329487,6.208204620287875,13.36044854418688,0.04555073641180572,9.96831512932259,0.04312837183545337
47,1,0.6377996978426693,0.0002251191403133305,0.02588529754020339,0.00013134844960223174,0.4819724502801605,0.00018859786940401486,0.028545267654668912,0.00010866545833805592,0.6894221582235458,0.6894221582235458,0.08086897115969606,0.08086897115969606,23972,30B,41583.55658581465,0.0,1.3159753614129854,1379439419.0,30,-110.85261028786108,2.070055959422185,1379439419.0,1851,81.57985958815519,1.7211705354089446,Run_23972vs30B_32mm,wrapped,extended,2.0,70.87392673207204,2.0615381480111554,236.0101760177999,6.864922032877148,13.947707029243958,0.053375575896278366,9.557840167277156,0.04861605235332201
48,2,0.6395705834965814,0.00019577516772830526,0.025758922793072247,0.00011153518830059732,0.44669652696474976,0.00016122852132532836,0.0261787208600575,9.63188857280008e-05,0.6550345729628332,0.6550345729628332,0.04910297817334626,0.04910297817334626,23972,30B,65760.92129579451,0.0,1.9558265500167755,1379439422.0,30,75.59964040857761,1.7328347235867845,1379439422.0,2895,84.25030272099764,1.482898704969939,Run_23972vs30B_5mm,wrapped,extended,29.0,73.93208713799268,1.7760129329180931,246.19385016951563,5.91412306661725,13.801514877302926,0.05102341331265481,9.484842602678802,0.041171516958476824
49,3,0.6412316949829789,0.00017650868569450494,0.024271869291448638,0.00011142806514961729,0.4509336526749407,0.0001420697202957491,0.025432531351553017,8.551290790836629e-05,0.6721378446024127,0.6721378446024127,0.05633858258071973,0.05633858258071973,23972,30B,65746.55810515556,0.0,1.6311132659347427,1379439426.0,30,44.824692921685575,1.7468879972002915,1379439426.0,2908,84.72854975939978,1.4862128282675098,Run_23972vs30B_20mm,wrapped,extended,14.0,74.47662146157737,1.7756801873251893,248.00714946705264,5.91301502379288,13.282133852201572,0.044854721729682315,8.914133943874814,0.04099678511833755
50,4,0.6387247024710236,0.000174658318640198,0.024392023644999664,0.00010798924664367857,0.45627919288702207,0.00013685867221574272,0.024332467680466537,8.152172042831269e-05,0.925030172769009,0.925030172769009,0.2690924696977542,0.2690924696977542,23972,30B,68537.29070670194,0.0,1.7709548797150498,1379439430.0,30,73.15058374727052,1.7236732279103495,1379439430.0,3052,84.8042825902104,1.4740440796775414,Run_23972vs30B_12mm,wrapped,extended,22.0,74.56276782443275,1.7618914942494326,248.29401685536106,5.8670986758506105,12.558749616638186,0.042244201178735556,8.993423216879604,0.03989188276763697
